id,_type,applicableUnit,altLabel,inScheme,prefLabel,topConceptOf,dc_type,definition,note,scopeNote,relevantLZS,relevantProperty,maxValue,operatie,minValue,subject,relevantQuantityKind,seeAlso,relevantCodeList,technischefiche,referentiewaardeType,broader,broaderTransitive,narrower,narrowerTransitive,semanticRelation,code,hasTopConcept
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_6,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Drukval afwijking naar beneden > 40% (S1 systeem),https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Onder minimum grenswaarde,De drukval wijkt meer dan 40% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.,"De drukval wijkt meer dan 40% naar beneden af van de operationele waarde die op de technische fiche vermeld staat.|< 0,6 x waarde technische fiche (afwijking > 40%)","< 0,6 x waarde technische fiche (afwijking > 40%)",https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s1,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/drukvaloverhetsysteem,0.6,product,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_7,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Drukval afwijking naar boven > 40% (S1 systeem),https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Boven maximum grenswaarde,De drukval wijkt meer dan 40% naar boven af van de operationele waarde die op de technische fiche vermeld staat.,"De drukval wijkt meer dan 40% naar boven af van de operationele waarde die op de technische fiche vermeld staat.|> 1,4 x waarde technische fiche (afwijking > 40%)","> 1,4 x waarde technische fiche (afwijking > 40%)",https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s1,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/drukvaloverhetsysteem,null,product,1.4,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_8,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Zuurtegraad waswater afwijking naar boven > 1 pH-eenheid (S2 systeem),https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Boven maximum grenswaarde,De zuurtegraad van het waswater wijkt meer dan 1 pH-eenheid naar boven af van de operationele waarde die op de technische fiche vermeld staat.,De zuurtegraad van het waswater wijkt meer dan 1 pH-eenheid naar boven af van de operationele waarde die op de technische fiche vermeld staat.|> 1 pH + waarde technische fiche (afwijking > 1pH),> 1 pH + waarde technische fiche (afwijking > 1pH),https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s2,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/zuurtegraadwaswater,null,som,1,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/norm_bandbreedte/_9,http://www.w3.org/2004/02/skos/core#Concept,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Geleidbaarheid waswater > maximale waarde (S2 systeem),https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/norm-bandbreedte,Boven maximum grenswaarde,De geleidbaarheid is groter dan de maximale operationele waarde die op de technische fiche vermeld staat.,De geleidbaarheid is groter dan de maximale operationele waarde die op de technische fiche vermeld staat.|> waarde technische fiche,> waarde technische fiche,https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s2,https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/geleidbaarheidvanhetwaswater,null,som,0,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/biobedspoelwaterproductie,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,Biobedspoelwaterproductie,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s3,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/medium/waswater,http://qudt.org/vocab/quantitykind/Volume,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/biobedspuiwaterproductie,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,Biobedspuiwaterproductie,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s3,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/medium/spuiwater,http://qudt.org/vocab/quantitykind/Volume,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0050,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/drukvaloverhetsysteem,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,Drukval over het systeem,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s2|https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s3|https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s1,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/medium/lucht,http://qudt.org/vocab/quantitykind/VaporPressure,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0329,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/geleidbaarheidvanhetwaswater,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,Geleidbaarheid van het waswater,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s2|https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s1,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/medium/waswater,http://qudt.org/vocab/quantitykind/Conductivity,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0010,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/spuiwaterproductie,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,Spuiwaterproductie,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s2|https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s1,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/medium/spuiwater,http://qudt.org/vocab/quantitykind/Volume,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0050,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/stalbezetting,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,Stalbezetting,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s2|https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s3|https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s1,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/medium/stal,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/stalbezetting,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/lzs/parameter/systeemstatus,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,SysteemStatus,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/parameter,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s2|https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s3|https://data.omgeving.vlaanderen.be/id/concept/lzs/type/s1,null,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/lzs/medium/hetelektronischmonitoringssysteem,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzs/systeemstatus,null,null,null,null,null,null,null,null,null
